Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2053,R10PAC_OECD,2.188,6708408.0,4.420840872,Const_low
2053,R10REF_ECON,9.739,29859774.0,19.677591066,Const_low
2053,R10REST_ASIA,17.518,53710187.99999999,35.395013891999994,Const_low
2054,R10AFRICA,0.572,1753751.9999999998,1.1557225679999998,Const_low
2054,R10CHINA+,7.475,22918349.999999996,15.103192649999999,Const_low
2054,R10EUROPE,0.9,2759400.0,1.8184446,Const_low
2054,R10INDIA+,0.116,355656.0,0.234377304,Const_low
2054,R10LATIN_AM,2.402,7364531.999999999,4.853226587999999,Const_low
2054,R10MIDDLE_EAST,22.9979,70511561.4,46.467118962600004,Const_low
2054,R10NORTH_AM,2.493,7643537.999999999,5.037091541999999,Const_low
2054,R10PAC_OECD,0.0,0.0,0.0,Const_low
2054,R10REF_ECON,2.392,7333872.0,4.833021648,Const_low
2054,R10REST_ASIA,1.75,5365500.0,3.5358645,Const_low
2055,R10AFRICA,0.0,0.0,0.0,Const_low
2055,R10CHINA+,5.265,16142489.999999996,10.637900909999997,Const_low
2055,R10EUROPE,0.0,0.0,0.0,Const_low
2055,R10INDIA+,0.116,355656.0,0.234377304,Const_low
2055,R10LATIN_AM,1.127,3455382.0,2.277096738,Const_low
2055,R10MIDDLE_EAST,16.8429,51640331.4,34.0309783926,Const_low
2055,R10NORTH_AM,1.92,5886720.0,3.87934848,Const_low
2055,R10PAC_OECD,0.0,0.0,0.0,Const_low
2055,R10REF_ECON,1.0,3066000.0,2.020494,Const_low
2055,R10REST_ASIA,1.05,3219300.0000000005,2.1215187,Const_low
2056,R10AFRICA,0.0,0.0,0.0,Const_low
2056,R10CHINA+,5.265,16142489.999999996,10.637900909999997,Const_low
2056,R10EUROPE,0.0,0.0,0.0,Const_low
2056,R10INDIA+,0.116,355656.0,0.234377304,Const_low
2056,R10LATIN_AM,1.127,3455382.0,2.277096738,Const_low
2056,R10MIDDLE_EAST,15.442900000000002,47347931.4,31.2022867926,Const_low
2056,R10NORTH_AM,0.161,493625.99999999994,0.32529953399999995,Const_low
2056,R10PAC_OECD,0.0,0.0,0.0,Const_low
2056,R10REF_ECON,0.0,0.0,0.0,Const_low
2056,R10REST_ASIA,1.05,3219300.0000000005,2.1215187,Const_low
2057,R10AFRICA,0.0,0.0,0.0,Const_low
2057,R10CHINA+,0.0,0.0,0.0,Const_low
